label	text
0	(personx, eats, pizza for dinner)
0	(personx, drinks, a soda)
0	(personx, eats, chicken)
0	(personx, loves, chocolate)
0	(personx, keeps, drinking)
0	(personx, tries, sushi)
0	(personx, pours into a bowl, ___)
0	(personx, buys, lunch)
0	(personx, eats, personx 's meal)
0	(personx, finds, the candy)
0	(personx, eats, too much candy)
0	(personx, eats, personx 's cookies)
0	(personx, eats, meat)
0	(personx, gets, some ice cream)
0	(personx, enjoys, persony 's food)
0	(personx, eats, the pizza)
0	(personx, gets to eat, something)
0	(personx, eats together, lunch)
0	(personx, eats, chips)
0	(personx, drinks, water)
0	(personx, eats, everything)
0	(personx, eats, peanut butter)
0	(personx, eats, tacos)
0	(personx, gets, a burger)
0	(personx, gets, a snack)
0	(personx, eats, personx 's bread)
0	(personx, drinks, a beer)
0	(personx, eats, junk food)
0	(personx, eats, toast)
0	(personx, also ate, ___)
0	(personx, quickly ate, ___)
0	(personx, always ate, ___)
0	(personx, takes out to eat, ___)
0	(personx, eats that night, ___)
0	(personx, eats together, ___)
0	(personx, eats alone, ___)
0	(personx, eats instead, ___)
0	(personx, eats very quickly, ___)
0	(personx, eats quickly, ___)
0	(personx, eats anyway, ___)
0	(personx, eats every night, ___)
0	(personx, eats, ___ in one)
0	(personx, finds to eat, something)
0	(personx, eats, ___ for a week)
0	(personx, eats, every ___)
0	(personx, drinks, another ___)
0	(personx, eats, ___ in one sitting)
0	(personx, tries, persony 's coffee)
0	(personx, eats, ___ in the kingdom)
0	(personx, eats ever, ___)
0	(personx, eats, ___ outside)
0	(personx, eats, ___ for weeks)
0	(personx, eats, ___ for days)
0	(personx, drinks, every ___)
0	(personx, eats, personx 's plants)
0	(personx, eats, all of persony 's food)
0	(personx, eats, all of personx 's food)
0	(personx, eats, ___ at home)
0	(personx, eats, an apple)
0	(personx, eats, ___ every day)
0	(personx, eats and have it too, personx 's cake)
0	(personx, eats, all persony 's food)
0	(personx, has and eat it too, personx 's cake)
0	(personx, eats, persony 's lunch)
0	(personx, eats for dinner, it)
0	(personx, eats, all personx 's food)
0	(personx, eats, ___ everyday)
0	(personx, drinks, ___ everyday)
0	(personx, has, a glass of water)
0	(personx, eats, persony 's cereal)
0	(personx, eats, personx 's cereal)
0	(personx, eats, persony 's cookies)
0	(personx, is eating, personx 's lunch)
0	(personx, eats, ___ at a restaurant)
0	(personx, eats, a lot)
0	(personx, eats, persony 's food)
0	(personx, eats, persony 's breakfast)
0	(personx, eats, a lot of food)
0	(personx, eats, a lot of candy)
0	(personx, tries, persony 's food)
0	(personx, eats, persony 's sandwich)
0	(personx, eats, persony 's meal)
1	(personx, teaches to drive, persony)
1	(personx, improves, personx 's grade)
1	(personx, divides into classes, ___)
1	(personx, develops, students ' ___)
1	(personx, gives persony, a lecture)
1	(personx, sees, persony graduate)
1	(personx, helps, persony 's study)
1	(personx, sends to schools, personx 's children)
1	(personx, teaches well, persony)
1	(personx, teaches to read, persony)
1	(personx, teaches how to fish, persony)
1	(personx, takes, place in the course)
1	(personx, affords, college)
1	(personx, increases, personx 's ability)
1	(personx, completes, personx 's training)
1	(personx, has passed, the test)
1	(personx, has just graduated, college)
1	(personx, improves, personx 's basketball skills)
1	(personx, learns, computer programming)
1	(personx, spends, ___ on the grade)
1	(personx, gets, ___ on personx 's test)
1	(personx, gets, lessons)
1	(personx, buys, ___ for school)
1	(personx, does, personx 's math homework)
1	(personx, gets, great grades in school)
1	(personx, learns, the printer 's ___)
1	(personx, finishes, persony 's homework)
1	(personx, just graduated, high school)
1	(personx, spends, personx 's ___ studying)
1	(personx, spends, ___ reading)
1	(personx, teaches also, ___)
1	(personx, spends, ___ thinking)
1	(personx, spends, a ___ studying)
1	(personx, learns, every ___)
1	(personx, takes, ___ at personx 's local community college)
1	(personx, gets from school, ___)
1	(personx, makes, ___ at school)
1	(personx, buys, school supplies)
1	(personx, takes, ___ at school)
1	(personx, starts, school)
1	(personx, sends to school, personx 's children)
1	(personx, teaches, ___ in the schools)
1	(personx, begins, high school)
1	(personx, joins, ___ at personx 's school)
1	(personx, sends to the school, persony 's ___)
1	(personx, is starting, high school)
1	(personx, sends to school, personx 's ___)
1	(personx, joins, ___ at persony 's school)
1	(personx, sends to a school, personx 's ___)
1	(personx, takes, ___ in college)
1	(personx, sends, persony to college)
1	(personx, starts, college)
1	(personx, sends to college, persony 's ___)
1	(personx, attends, college)
1	(personx, just graduated, college)
1	(personx, prepares, ___ for college)
1	(personx, graduates, college)
1	(personx, spends, ___ learning)
1	(personx, learns, the piano)
1	(personx, learns to ice skate, how)
1	(personx, learns, everything)
1	(personx, learns, a new instrument)
1	(personx, learns, a lot)
1	(personx, learns, my lesson)
1	(personx, learns, a new language)
1	(personx, learns, the language)
1	(personx, learns, the violin)
1	(personx, learns, new things)
1	(personx, learns, the guitar)
1	(personx, learns by heart, the ___)
1	(personx, learns, another ___)
1	(personx, learns, something new)
1	(personx, learns, a new skill)
1	(personx, applies to the study, the ___)
1	(personx, helps, persony study)
1	(personx, spends, ___ studying)
1	(personx, makes, persony study)
